Strategy,Strong Bull,Weak Bull,Bear,Total Return %,Sharpe Ratio,Max Drawdown %,Total Trades,Win Rate %,Profit Factor,Final Value
60% Crypto + 40% PAXG,5 cryptos,5 cryptos,3 cryptos + 2 PAXG,66.4627556334082,0.8935245882038543,20.553948610893315,3,66.66666666666666,168.5754519394835,16646.27556334082
50% Crypto + 50% PAXG,5 cryptos,5 cryptos,3 cryptos + 2 PAXG,66.4627556334082,0.8935245882038543,20.553948610893315,3,66.66666666666666,168.5754519394835,16646.27556334082
40% Crypto + 60% PAXG,5 cryptos,5 cryptos,2 cryptos + 3 PAXG,66.4627556334082,0.8935245882038543,20.553948610893315,3,66.66666666666666,168.5754519394835,16646.27556334082
No Regime Filter (Baseline),5 cryptos,5 cryptos,5 cryptos + 0 USDT,52.98564010190021,0.742700769780495,23.407750452521913,2,100.0,inf,15298.56401019002
80% Crypto + 20% USDT,5 cryptos,5 cryptos,4 cryptos + 1 USDT,52.98564010190021,0.742700769780495,23.407750452521913,2,100.0,inf,15298.56401019002
60% Crypto + 40% USDT,5 cryptos,5 cryptos,3 cryptos + 2 USDT,52.98564010190021,0.742700769780495,23.407750452521913,2,100.0,inf,15298.56401019002
40% Crypto + 60% USDT,5 cryptos,5 cryptos,2 cryptos + 3 USDT,52.98564010190021,0.742700769780495,23.407750452521913,2,100.0,inf,15298.56401019002
20% Crypto + 80% USDT,5 cryptos,5 cryptos,1 cryptos + 4 USDT,52.98564010190021,0.742700769780495,23.407750452521913,2,100.0,inf,15298.56401019002
100% PAXG in Bear,5 cryptos,5 cryptos,0 cryptos + 5 PAXG,11.739205835687045,0.3279040056056668,20.775397012805975,8,75.0,2.1860822671658005,11173.920583568704
100% USDT in Bear,5 cryptos,5 cryptos,0 cryptos + 5 USDT,-3.0446120911328944,-1.3334060036510642,3.044612091132848,8,0.0,0.0,9695.53879088671
