year_month,daily_pnl,equity,return_pct,cumulative_pnl
2020-10,-1366.7440123467386,98633.25598765326,0.0,-1366.7440123467386
2020-11,-5729.411951952541,92903.84403570072,-5.808803424952069,-7096.15596429928
2020-12,7375.833107328712,100279.67714302943,7.939211971136895,279.67714302943205
2021-01,-2979.652863253883,97300.02427977555,-2.9713426968896117,-2699.975720224451
2021-02,-6529.002220435883,90771.02205933967,-6.710175324995249,-9228.977940660334
2021-03,-1615.508670175317,89155.51338916435,-1.7797625646643223,-10844.486610835651
2021-04,3900.806876103452,93056.3202652678,4.375283959250398,-6943.679734732199
2021-05,1398.5665784536832,94454.88684372148,1.5029248679368612,-5545.113156278516
2021-06,-6957.478599854425,87497.40824386706,-7.365927621474777,-12502.59175613294
2021-07,2132.8329403858515,89630.24118425291,2.437595562192385,-10369.75881574709
2021-08,-2887.6232121309004,86742.61797212201,-3.2217063950489844,-13257.38202787799
2021-09,-379.3897571997659,86363.22821492224,-0.4373741144424459,-13636.771785077755
2021-10,4439.28680447003,90802.51501939227,5.140251118708172,-9197.484980607725
2021-11,-1135.3555493392923,89667.15947005298,-1.2503569412111726,-10332.840529947018
2021-12,8.599933152436279,89675.75940320542,0.009590950804350129,-10324.240596794582
2022-01,-1328.2835815434082,88347.47582166201,-1.481206950889702,-11652.52417833799
2022-02,4420.372251375113,92767.84807303712,5.003393939967293,-7232.151926962877
2022-03,1835.4815726405068,94603.32964567763,1.9785751321895528,-5396.67035432237
2022-04,-1602.5598637447983,93000.76978193283,-1.6939782878117926,-6999.230218067169
2022-05,-3105.085480296024,89895.68430163681,-3.338773955932617,-10104.315698363192
2022-06,-1139.4149109647988,88756.26939067201,-1.267485663874135,-11243.730609327991
2022-07,-2551.6673207952263,86204.60206987678,-2.874915021004021,-13795.397930123218
2022-08,-2829.298774094903,83375.30329578188,-3.2820739335952087,-16624.69670421812
2022-09,-2398.941365214807,80976.36193056707,-2.8772805259902112,-19023.638069432927
2022-10,-1361.5606699807977,79614.80126058628,-1.681429787063371,-20385.198739413725
2022-11,6603.448355786357,86218.24961637263,8.294247113891151,-13781.750383627368
2022-12,2769.7832924600953,88988.03290883273,3.2125255439355627,-11011.967091167273
2023-01,3787.6120564719313,92775.64496530466,4.25631619518132,-7224.355034695342
2023-02,-1278.853356212625,91496.79160909203,-1.3784365031263124,-8503.208390907967
2023-03,2934.92976050968,94431.72136960171,3.207685984278852,-5568.278630398287
2023-04,-68.42353623453528,94363.29783336718,-0.07245821133210484,-5636.702166632822
2023-05,0.0,94363.29783336718,0.0,-5636.702166632822
2023-06,1193.5332189615438,95556.83105232872,1.2648277946677444,-4443.168947671278
2023-07,997.1011609900306,96553.93221331875,1.0434640307860343,-3446.0677866812475
2023-08,1773.4179047857178,98327.35011810447,1.8367122541085745,-1672.6498818955297
2023-09,-2476.236318943804,95851.11379916067,-2.5183596588024715,-4148.8862008393335
2023-10,3949.468588433403,99800.58238759407,4.120420130650571,-199.4176124059304
2023-11,11664.672799951644,111465.25518754571,11.687980691986066,11465.255187545714
2023-12,27624.013662121826,139089.26884966754,24.782622724581827,39089.26884966754
2024-01,-3213.2370670222444,135876.0317826453,-2.310197683543236,35876.031782645296
2024-02,13918.970725876105,149795.0025085214,10.243874908079187,49795.0025085214
2024-03,4018.0785326021432,153813.08104112354,2.682384902909929,53813.08104112354
2024-04,-3710.9799501659,150102.10109095764,-2.4126556239867036,50102.10109095764
2024-05,-1387.629982323706,148714.47110863394,-0.9244574008213546,48714.47110863394
2024-06,-280.6670210142038,148433.80408761973,-0.1887287894190015,48433.804087619734
2024-07,3283.650832715881,151717.45492033561,2.212198799929399,51717.454920335615
2024-08,-4971.867785456794,146745.58713487882,-3.27705720351521,46745.58713487882
2024-09,9774.62884987102,156520.21598474984,6.6609354602853,56520.21598474984
2024-10,1440.8508861093433,157961.06687085918,0.9205525797701064,57961.066870859184
2024-11,65585.95570587576,223547.02257673495,41.52032966420482,123547.02257673495
2024-12,-8.259117408946622,223538.763459326,-0.0036945772364793683,123538.763459326
2025-01,0.0,223538.763459326,0.0,123538.763459326
2025-02,0.0,223538.763459326,0.0,123538.763459326
2025-03,9171.5657675252,232710.3292268512,4.102897245020332,132710.3292268512
2025-04,13700.669096093188,246410.9983229444,5.88743488164527,146410.9983229444
2025-05,11009.084148301103,257420.0824712455,4.467773039039713,157420.0824712455
2025-06,-1122.6895423958485,256297.39292884964,-0.43613129621355995,156297.39292884964
2025-07,0.0,256297.39292884964,0.0,156297.39292884964
2025-08,0.0,256297.39292884964,0.0,156297.39292884964
2025-09,-2247.948179273837,254049.4447495758,-0.877085854672699,154049.4447495758
2025-10,0.0,254049.4447495758,0.0,154049.4447495758
