Date,Removed,Added,New_Universe
2020-07-01,"ETC, XRP, BTC, HBAR, BNB","MANA, MATIC, THETA, FTM, VET","FIL, ADA, THETA, VET, LINK, FTM, XLM, ETH, MATIC, MANA"
2020-10-01,"MATIC, ADA, FIL, XLM, VET","SOL, TRX, BNB, ALGO, ATOM","SOL, THETA, FTM, LINK, MANA, ATOM, BNB, ETH, ALGO, TRX"
2021-01-01,"MANA, SOL, ATOM, TRX, FTM, ALGO, BNB, LINK","DOT, DOGE, ADA, EGLD, BTC, XLM, LTC, AAVE","EGLD, BTC, LTC, THETA, DOGE, ETH, DOT, ADA, XLM, AAVE"
2021-04-01,"DOT, DOGE, ADA, THETA, EGLD, ETH, BTC, XLM, LTC, AAVE","AVAX, AXS, MATIC, SOL, MANA, FIL, SAND, FTM, HBAR, BNB","FTM, SAND, MATIC, MANA, HBAR, SOL, AXS, BNB, FIL, AVAX"
2021-07-01,"AVAX, MANA, FIL, SAND, FTM, HBAR","ADA, ETC, XRP, ETH, DOGE, VET","DOGE, ETC, MATIC, SOL, ADA, AXS, XRP, ETH, VET, BNB"
2021-10-01,"MATIC, ADA, ETC, XRP, ETH, DOGE, BNB, VET","DOT, AVAX, EGLD, SAND, FTM, ALGO, ATOM, NEAR","AXS, FTM, AVAX, SOL, NEAR, ATOM, SAND, EGLD, ALGO, DOT"
2022-01-01,"ALGO, DOT, ATOM, AXS","MATIC, BNB, ETH, MANA","SAND, MANA, MATIC, NEAR, FTM, AVAX, BNB, ETH, SOL, EGLD"
2022-04-01,"MANA, MATIC, SOL, EGLD, SAND, FTM, BNB","ADA, ETC, TRX, XRP, BTC, AAVE, VET","ETC, NEAR, BTC, XRP, TRX, VET, AAVE, ETH, AVAX, ADA"
2022-07-01,"AVAX, ETC, ETH, AAVE, VET, NEAR","LTC, XLM, DOGE, BNB, UNI, LINK","UNI, TRX, BNB, XLM, DOGE, BTC, LTC, ADA, XRP, LINK"
2022-10-01,"DOGE, ADA, TRX, BTC, XLM, LTC, UNI","MATIC, ICP, ETC, ETH, AAVE, ALGO, ATOM","ETC, MATIC, ATOM, XRP, BNB, AAVE, LINK, ETH, ALGO, ICP"
2023-01-01,"ICP, ETC, XRP, ALGO, AAVE, ATOM","TRX, LTC, BTC, FTM, DOGE, UNI","UNI, LTC, DOGE, MATIC, FTM, ETH, TRX, BNB, BTC, LINK"
2023-04-01,"MATIC, TRX, ETH, LTC, DOGE, BNB, LINK","AVAX, MANA, SOL, ADA, FIL, SAND, HBAR","UNI, FTM, MANA, HBAR, SOL, FIL, BTC, AVAX, SAND, ADA"
2023-07-01,"AVAX, MANA, ADA, FIL, SAND, FTM, HBAR","ETC, TRX, XRP, ETH, XLM, LTC, AAVE","UNI, TRX, LTC, BTC, ETH, ETC, XLM, XRP, AAVE, SOL"
2023-10-01,"ETC, UNI, ETH, LTC","HBAR, ADA, LINK, DOGE","SOL, LINK, TRX, XLM, XRP, HBAR, AAVE, DOGE, BTC, ADA"
2024-01-01,"TRX, XRP, BTC, XLM, DOGE, AAVE, LINK, HBAR","AVAX, ICP, EGLD, FIL, FTM, ALGO, VET, NEAR","SOL, AVAX, ICP, NEAR, EGLD, FTM, ADA, ALGO, FIL, VET"
2024-04-01,"AVAX, ICP, ADA, EGLD, FIL, ALGO, VET","DOGE, ETC, THETA, ETH, BTC, LTC, BNB","DOGE, THETA, FTM, SOL, BNB, NEAR, ETC, BTC, ETH, LTC"
2024-07-01,"DOGE, THETA, FTM, LTC","AAVE, TRX, XRP, LINK","TRX, ETH, BNB, BTC, AAVE, XRP, LINK, NEAR, SOL, ETC"
2024-10-01,"ETC, LINK, ETH, NEAR","ICP, XLM, UNI, FTM","AAVE, FTM, XRP, ICP, TRX, SOL, XLM, UNI, BTC, BNB"
